"School","District","Enrollment","Students enrolled in the school - active student cases","Students enrolled in the school - % of students testing positive","School-associated cases - active student cases","School-Associated cases - all cases (last 14 days)","School-associated cases - all cases 2021-2022 school year","School-associated cases % of students testing positive"
"Pacific Heritage Academy","Salt Lake County - Charter","304","<5","<5 student cases","<5","<5","26","<5 student cases"
"Pikabo Street Academy","Summit County - Charter/Private","Enrollment data not available","<5","<5 student cases","<5","<5","<5","<5 student cases"
"Box Elder Middle","Box Elder District","1127","<5","<5 student cases","<5","<5","53","<5 student cases"
"Antelope Elementary","Davis District","572","<5","<5 student cases","0","<5","96","0%"
"Grace Lutheran School","Salt Lake County - Private","Enrollment data not available","<5","<5 student cases","<5","<5","9","<5 student cases"
"White Pine School","Cache District","396","<5","<5 student cases","<5","<5","24","<5 student cases"
"Crestview School","Davis District","337","<5","<5 student cases","<5","<5","27","<5 student cases"
"Voyage Academy","Davis County - Charter","526","<5","<5 student cases","<5","<5","42","<5 student cases"
"Roosevelt School","Weber District","485","<5","<5 student cases","0","0","48","0%"
"Chiron Academy","Salt Lake County - Private","Enrollment data not available","<5","<5 student cases","<5","<5","<5","<5 student cases"
"Pinnacle Canyon Academy","Southeast Utah - Charter","395","<5","<5 student cases","<5","<5","14","<5 student cases"
"Taylor Canyon School","Ogden City District","265","<5","<5 student cases","0","0","17","0%"
"Pine View Middle","Washington District","750","<5","<5 student cases","0","0","21","0%"
"Ascent Academies of Utah Farmington","Davis County - Charter","474","<5","<5 student cases","<5","<5","32","<5 student cases"
"BYU Independent Study","Utah County - Private","Enrollment data not available","<5","<5 student cases","<5","6","53","<5 student cases"
"Mountainside School","Cache District","418","<5","<5 student cases","<5","<5","31","<5 student cases"
"Greenville School","Cache District","509","<5","<5 student cases","0","<5","43","0%"
"East Layton School","Davis District","546","<5","<5 student cases","0","0","36","0%"
"Santaquin School","Nebo District","448","<5","<5 student cases","<5","<5","30","<5 student cases"
"Pioneer School","Weber District","427","<5","<5 student cases","<5","<5","49","<5 student cases"
"Delta Middle","Millard District","437","<5","<5 student cases","<5","<5","19","<5 student cases"
"Nibley School","Cache District","408","<5","<5 student cases","<5","<5","40","<5 student cases"
"Woodrow Wilson School","Granite District","404","<5","<5 student cases","0","<5","14","0%"
"Renaissance Academy","Davis District","323","<5","<5 student cases","<5","<5","7","<5 student cases"
"Redwood School","Granite District","477","<5","<5 student cases","0","<5","8","0%"
"Terra Academy","TriCounty - Charter/Private","647","<5","<5 student cases","0","0","38","0%"
"Bluff Ridge Elementary","Davis District","758","<5","<5 student cases","<5","<5","58","<5 student cases"
"Canyon School","Cache District","664","<5","<5 student cases","0","<5","53","0%"
"Roy School","Weber District","505","<5","<5 student cases","0","0","27","0%"
"Westland School","Jordan District","510","<5","<5 student cases","0","<5","34","0%"
"Santa Clara School","Washington District","481","<5","<5 student cases","0","0","<5","0%"
"Lindon School","Alpine District","615","<5","<5 student cases","0","<5","25","0%"
"Wasatch School","Salt Lake District","399","<5","<5 student cases","0","0","16","0%"
"Bountiful Jr High","Davis District","582","<5","<5 student cases","0","0","31","0%"
"Juan Diego Catholic High/St John the Baptist Elem and Middle","Salt Lake County - Private","767","<5","<5 student cases","<5","<5","51","<5 student cases"
"Bear River Middle","Box Elder District","840","<5","<5 student cases","<5","<5","58","<5 student cases"
"Washington School","Washington District","369","<5","<5 student cases","<5","<5","6","<5 student cases"
"Eagle View School","Uintah District","306","<5","<5 student cases","0","0","20","0%"
"Karl G. Maeser Preparatory Academy","Utah County - Charter","628","<5","<5 student cases","<5","<5","27","<5 student cases"
"Roosevelt Elementary","Granite District","485","<5","<5 student cases","0","0","5","0%"
"Thomas O. Smith School","Ogden City District","315","<5","<5 student cases","0","<5","16","0%"
"Brockbank School","Nebo District","563","<5","<5 student cases","0","0","19","0%"
"Silver Ridge Elementary","Weber District","585","<5","<5 student cases","0","0","33","0%"
"Hurricane High","Washington District","1049","<5","<5 student cases","0","0","17","0%"
"Centerville School","Davis District","308","<5","<5 student cases","<5","<5","56","<5 student cases"
"Franklin School","Provo District","332","<5","<5 student cases","<5","<5","14","<5 student cases"
"Moab Charter School","Southeast Utah - Charter","93","<5","<5 student cases","0","0","<5","0%"
"Utah Military Academy","Utah County - Charter","538","<5","<5 student cases","0","0","15","0%"
"Willard School","Box Elder District","245","<5","<5 student cases","0","0","16","0%"
"Alpine School","Alpine District","640","<5","<5 student cases","<5","<5","31","<5 student cases"
"Red Hills Middle","Sevier District","534","<5","<5 student cases","0","0","26","0%"
"North Park School","Weber District","447","<5","<5 student cases","0","<5","17","0%"
"Adams School","Logan City District","252","<5","<5 student cases","0","0","19","0%"
"John C. Fremont School","Granite District","380","<5","<5 student cases","<5","<5","15","<5 student cases"
"Crimson Cliffs Middle","Washington District","949","<5","<5 student cases","0","0","13","0%"
"Hillside School","Granite District","532","<5","<5 student cases","0","0","<5","0%"
"Rock Canyon School","Provo District","515","<5","<5 student cases","0","0","14","0%"
"Kings Peak School","Duchesne District","458","<5","<5 student cases","0","0","10","0%"
"West Haven School","Weber District","525","<5","<5 student cases","0","0","40","0%"
"Willow School","Tooele District","678","<5","<5 student cases","0","0","16","0%"
"South Kearns School","Granite District","462","<5","<5 student cases","0","0","11","0%"
"Timpanogos School","Provo District","565","<5","<5 student cases","0","0","24","0%"
"West School","Tooele District","240","<5","<5 student cases","<5","<5","<5","<5 student cases"
"Providence Hall","Salt Lake County - Charter","2065","<5","<5 student cases","<5","<5","15","<5 student cases"
"Academy Park School","Granite District","425","<5","<5 student cases","<5","<5","10","<5 student cases"
"Harry S. Truman School","Granite District","363","<5","<5 student cases","<5","<5","12","<5 student cases"
"Parkside School","Murray District","426","<5","<5 student cases","<5","<5","24","<5 student cases"
"Esperanza School","Salt Lake County - Charter","527","<5","<5 student cases","<5","<5","14","<5 student cases"
"North Park School","Box Elder District","509","<5","<5 student cases","0","0","38","0%"
"Diamond Fork Junior High","Nebo District","1260","<5","<5 student cases","0","0","51","0%"
"Dugway","Tooele District","92","<5","<5 student cases","0","0","<5","0%"
"LaVerkin School","Washington District","356","<5","<5 student cases","0","0","11","0%"
"Utah Military Academy","Weber-Morgan - Charter","538","<5","<5 student cases","0","0","32","0%"
"Alice C. Harris Intermediate","Box Elder District","802","<5","<5 student cases","<5","<5","56","<5 student cases"
"Western Hills School","Granite District","326","<5","<5 student cases","0","<5","13","0%"
"Sharon School","Alpine District","353","<5","<5 student cases","0","0","18","0%"
"Mountain Shadows School","Jordan District","603","<5","<5 student cases","0","<5","31","0%"
"Lakeview Academy","Utah County - Charter","976","<5","<5 student cases","<5","<5","39","<5 student cases"
"Rose Springs School","Tooele District","383","<5","<5 student cases","0","0","7","0%"
"Rocky Mountain School","Alpine District","584","<5","<5 student cases","<5","<5","33","<5 student cases"
"Utah Career Path High School","Davis County - Charter","191","<5","<5 student cases","<5","<5","17","<5 student cases"
"Juab Jr High","Juab District","673","<5","<5 student cases","<5","<5","17","<5 student cases"
"Freedom Preparatory Academy Washington - Freedom Preparatory Academy","Southwest Utah - Charter","Enrollment data not available","<5","<5 student cases","<5","<5","<5","<5 student cases"
"Ascent Academy West Valley","Salt Lake County - Charter","446","<5","<5 student cases","0","0","36","0%"
"Ephraim School","South Sanpete District","508","<5","<5 student cases","0","0","27","0%"
"Silver Hills School","Granite District","394","<5","<5 student cases","0","<5","14","0%"
"Mt. Pleasant School","North Sanpete District","428","<5","<5 student cases","<5","<5","14","<5 student cases"
"Kanab High","Kane District","313","<5","<5 student cases","0","0","10","0%"
"Creekview School","Carbon District","431","<5","<5 student cases","0","0","13","0%"
"Goshen School","Nebo District","261","<5","<5 student cases","0","0","6","0%"
"Landmark High","Nebo District","246","<5","<5 student cases","<5","<5","15","<5 student cases"
"Mount Mahogany School","Alpine District","682","<5","<5 student cases","<5","<5","26","<5 student cases"
"Green Acres School","Weber District","503","<5","<5 student cases","0","<5","39","0%"
"Discovery School","Uintah District","688","<5","<5 student cases","0","0","18","0%"
"Intermountain Christian","Salt Lake County - Private","345","<5","<5 student cases","<5","<5","22","<5 student cases"
"H Guy Child School","Weber District","433","<5","<5 student cases","<5","<5","23","<5 student cases"
"Provo Peaks School","Provo District","473","<5","<5 student cases","<5","<5","24","<5 student cases"
"Douglas T. Orchard School","Granite District","503","<5","<5 student cases","0","0","27","0%"
"Kanab Middle","Kane District","156","<5","<5 student cases","<5","<5","<5","<5 student cases"
"East Midvale School","Canyons District","493","<5","<5 student cases","0","0","35","0%"
"Vernal Middle","Uintah District","847","<5","<5 student cases","0","0","32","0%"
"Odyssey Charter School","Utah County - Charter","361","<5","<5 student cases","0","0","24","0%"
"Bear River Charter School","Bear River - Charter","161","<5","<5 student cases","<5","<5","21","<5 student cases"
"Middle Canyon School","Tooele District","546","<5","<5 student cases","0","0","13","0%"
"Ensign School","Salt Lake District","324","<5","<5 student cases","0","0","14","0%"
"Ranches Academy","Utah County - Charter","371","<5","<5 student cases","0","0","11","0%"
"Three Falls School","Washington District","527","<5","<5 student cases","0","0","9","0%"
"Union High","Duchesne District","1113","<5","<5 student cases","0","0","44","0%"
"Snow Springs School","Alpine District","812","<5","<5 student cases","0","0","42","0%"
"Lincoln School","Cache District","458","<5","<5 student cases","<5","<5","48","<5 student cases"
"Bloomington Hills School","Washington District","500","<5","<5 student cases","0","0","6","0%"
"Aspen School","Alpine District","400","<5","<5 student cases","0","0","19","0%"
"Woodruff School","Logan City District","606","<5","<5 student cases","0","<5","29","0%"
"South Clearfield Elementary","Davis District","387","<5","<5 student cases","0","0","55","0%"
"RSL Academy","Salt Lake County - Charter","406","<5","<5 student cases","<5","<5","<5","<5 student cases"
"Fillmore Middle","Millard District","356","<5","<5 student cases","<5","<5","22","<5 student cases"
"Loa School","Wayne District","196","<5","<5 student cases","0","0","9","0%"
"Bluff School","San Juan District","67","<5","<5 student cases","0","0","<5","0%"
"Myton School","Duchesne District","107","<5","<5 student cases","0","0","<5","0%"
"Tintic High","Tintic District","102","<5","<5 student cases","<5","<5","11","<5 student cases"
"North Sanpete Middle","North Sanpete District","401","<5","<5 student cases","<5","<5","22","<5 student cases"
"Duchesne High","Duchesne District","380","<5","<5 student cases","0","0","10","0%"
"Tse'Bii'Nidzisgai School","San Juan District","266","<5","<5 student cases","0","0","<5","0%"
"Fountain Green School","North Sanpete District","126","<5","<5 student cases","<5","<5","5","<5 student cases"
"Book Cliff School","Emery District","100","<5","<5 student cases","0","0","<5","0%"
"Parowan School","Iron District","398","<5","<5 student cases","<5","<5","<5","<5 student cases"
"Emery High","Emery District","655","<5","<5 student cases","0","0","18","0%"
"Whitehorse High","San Juan District","275","<5","<5 student cases","0","0","5","0%"
"Cottonwood School","Emery District","121","<5","<5 student cases","<5","<5","<5","<5 student cases"
"The Center for Creativity Innovation and Discovery","Bear River - Charter","456","<5","<5 student cases","<5","<5","45","<5 student cases"
"Beaver High","Beaver District","488","<5","<5 student cases","0","0","9","0%"
"San Rafael Middle School","Emery District","288","<5","<5 student cases","0","0","<5","0%"
"Anna Smith School","Tooele District","195","<5","<5 student cases","0","0","<5","0%"
"Vista Education Campus","Davis District","308","0","0%","0","0","12","0%"
"West Weber School","Weber District","501","0","0%","0","0","41","0%"
"Sage Creek School","Nebo District","602","0","0%","0","0","24","0%"
"Our Lady of Lourdes","Salt Lake County - Private","Enrollment data not available","0","0%","0","0","5","0%"
"Challenger School","Salt Lake County - Private","Enrollment data not available","0","0%","0","0","26","0%"
"Providence Montessori Academy","Weber-Morgan - Private","Enrollment data not available","0","0%","0","0","<5","0%"
"Liberty School","Salt Lake District","337","0","0%","0","0","12","0%"
"Canyon View School","Weber District","Enrollment data not available","0","0%","0","0","10","0%"
"American Heritage at South Jordan","Salt Lake County - Private","Enrollment data not available","0","0%","0","0","6","0%"
"Stillwater Academy","Salt Lake County - Private","Enrollment data not available","0","0%","0","<5","<5","0%"
"Mountain View Montessori","Southwest Utah - Charter","Enrollment data not available","0","0%","0","0","5","0%"
"Gateway Academy","Salt Lake County - Private","Enrollment data not available","0","0%","0","<5","<5","0%"
"Larsen School","Nebo District","502","0","0%","0","0","12","0%"
"St. Andrew Catholic School","Salt Lake County - Private","Enrollment data not available","0","0%","0","0","<5","0%"
"New Discovery Montessori","Davis County - Charter","Enrollment data not available","0","0%","0","0","<5","0%"
"McKinley School","Box Elder District","516","0","0%","0","0","30","0%"
"Tonaquint Intermediate","Washington District","732","0","0%","0","0","18","0%"
"Autism Solutions","Salt Lake County - Private","Enrollment data not available","0","0%","0","<5","<5","0%"
"Horizonte Instruction & Training Center","Salt Lake District","324","0","0%","0","0","7","0%"
"Lincoln School","Ogden City District","425","0","0%","0","0","23","0%"
"John Hancock Charter School","Utah County - Charter","182","0","0%","0","0","20","0%"
"Pine Ridge Academy","Salt Lake County - Private","Enrollment data not available","0","0%","0","<5","<5","0%"
"Newman School","Salt Lake District","299","0","0%","0","<5","16","0%"
"Alpine Academy","Tooele County - Charter/Private","Enrollment data not available","0","0%","0","0","<5","0%"
"American Preparatory Academy - ELC","Salt Lake County - Charter","Enrollment data not available","0","0%","0","0","<5","0%"
"Hillcrest School","Ogden City District","281","0","0%","0","0","21","0%"
"Oak Springs School","Provo District","25","0","0%","0","0","<5","0%"
"Oakgrove School","Weber-Morgan - Private","Enrollment data not available","0","0%","0","0","<5","0%"
"North Sevier Middle","Sevier District","232","0","0%","0","0","21","0%"
"Lumen Scholar Institute","Utah County - Charter","538","0","0%","0","0","<5","0%"
"St. Vincent de Paul Elementary","Salt Lake County - Private","Enrollment data not available","0","0%","0","<5","16","0%"
"Guadalupe School","Salt Lake County - Charter","262","0","0%","0","<5","18","0%"
"Mound Fort Junior High","Ogden City District","585","0","0%","0","<5","20","0%"
"Prince of Peace Lutheran Church and School","Salt Lake County - Private","86","0","0%","0","0","<5","0%"
"Carden Memorial School","Salt Lake County - Private","Enrollment data not available","0","0%","0","<5","5","0%"
"Mountain Springs Preparatory Academy","Southwest Utah - Private","Enrollment data not available","0","0%","0","<5","<5","0%"
"Hartvigsen School","Granite District","75","0","0%","0","0","13","0%"
"East Shore Online and Polaris High School","Alpine District","113","0","0%","0","0","12","0%"
"Salt Lake Technology Center","Salt Lake District","Enrollment data not available","0","0%","0","<5","<5","0%"
"Summit High","Alpine District","57","0","0%","0","0","<5","0%"
"Lincoln Academy","Utah County - Charter","882","0","0%","0","0","30","0%"
"Southwest High","Washington District","Enrollment data not available","0","0%","0","0","<5","0%"
"Snowville School","Box Elder District","20","0","0%","0","0","<5","0%"
"Oscarson School","Piute District","37","0","0%","0","0","<5","0%"
"Uintah Middle School","Uintah District","716","0","0%","0","0","29","0%"
"Bridges Nebo Transition Center","Nebo District","93","0","0%","0","0","<5","0%"
"Jean Massieu School for the Deaf","Salt Lake County - Charter","Enrollment data not available","0","0%","0","0","<5","0%"
"Three Peaks School","Iron District","615","0","0%","0","0","23","0%"
"Dan W. Peterson","Alpine District","222","0","0%","0","0","6","0%"
"Treeside Charter School","Utah County - Charter","426","0","0%","0","0","25","0%"
"Spring Creek School","Provo District","382","0","0%","0","0","11","0%"
"Blessed Sacrament School","Salt Lake County - Private","Enrollment data not available","0","0%","0","0","8","0%"
"Freedom Prep Academy - Provo Secondary","Utah County - Charter","Enrollment data not available","0","0%","0","<5","11","0%"
"St. Joseph High","Weber-Morgan - Private","Enrollment data not available","0","0%","0","0","7","0%"
"St. Olaf Catholic Elem.","Davis County - Private","Enrollment data not available","0","0%","0","0","5","0%"
"Paradise Canyon","Washington District","505","0","0%","0","0","15","0%"
"Montessori of Sandy","Salt Lake County - Charter","Enrollment data not available","0","0%","0","0","<5","0%"
"Lewiston School","Cache District","441","0","0%","0","0","22","0%"
"Garfield Academy","Salt Lake County - Charter","Enrollment data not available","0","0%","0","0","<5","0%"
"Oxford Academy","Salt Lake County - Private","Enrollment data not available","0","0%","0","0","<5","0%"
"Clear Horizons","Utah County - Private","Enrollment data not available","0","0%","0","0","<5","0%"
"Contracted Special Education","Ogden City District","Enrollment data not available","0","0%","0","<5","6","0%"
"Redeemer Lutheran","Salt Lake County - Private","Enrollment data not available","0","0%","0","<5","8","0%"
"Horizon School","Washington District","520","0","0%","0","0","9","0%"
"Launch High","Iron District","136","0","0%","0","0","5","0%"
"Sally Mauro School","Carbon District","250","0","0%","0","0","15","0%"
"Gateway Preparatory Academy","Southwest Utah - Charter","663","0","0%","0","0","20","0%"
"Sunset School","Davis District","272","0","0%","0","0","25","0%"
"Escalante Valley School","Iron District","106","0","0%","0","0","<5","0%"
"Lakeview School","Weber District","430","0","0%","0","0","20","0%"
"Coral Cliffs School","Washington District","118","0","0%","0","0","<5","0%"
"Madeleine Choir School","Salt Lake County - Private","Enrollment data not available","0","0%","0","0","10","0%"
"Noah Webster Academy","Utah County - Charter","512","0","0%","0","0","40","0%"
"Overlake School","Tooele District","453","0","0%","0","0","22","0%"
"Salina School","Sevier District","406","0","0%","0","0","31","0%"
"Utah County Academy of Science - Provo","Utah County - Charter","Enrollment data not available","0","0%","0","0","<5","0%"
"Davinci Elementary","Weber-Morgan - Charter","Enrollment data not available","0","0%","0","0","<5","0%"
"New Bridge School","Ogden City District","487","0","0%","0","0","28","0%"
"New Haven","Utah County - Private","Enrollment data not available","0","0%","0","0","<5","0%"
"Farr West School","Weber District","773","0","0%","0","0","24","0%"
"Ascent Academies of Utah Lehi","Utah County - Charter","529","0","0%","0","<5","16","0%"
"Legacy Preparatory Academy","Davis County - Charter","Enrollment data not available","0","0%","0","0","32","0%"
"Challenger School","Salt Lake County - Private","Enrollment data not available","0","0%","0","0","19","0%"
"Roots Charter High School","Salt Lake County - Charter","203","0","0%","0","<5","9","0%"
"Trinity Lutheran School","Southwest Utah - Private","Enrollment data not available","0","0%","0","0","<5","0%"
"George Washington Academy","Southwest Utah - Charter","1011","0","0%","0","0","17","0%"
"Sunrise High School ","Box Elder District","116","0","0%","0","0","17","0%"
"Layton Christian Academy","Davis County - Private","Enrollment data not available","0","0%","0","0","7","0%"
"Sunrise Academy","Southwest Utah - Private","Enrollment data not available","0","0%","0","0","<5","0%"
"Millcreek High","Washington District","107","0","0%","0","0","<5","0%"
"Faith Baptist Academy","Davis County - Private","Enrollment data not available","0","0%","0","0","<5","0%"
"Liahona Preparatory Academy","Utah County - Private","Enrollment data not available","0","0%","0","0","<5","0%"
"Water Canyon School","Washington District","187","0","0%","0","0","<5","0%"
"Granite Technical Institute","Granite District","166","0","0%","0","0","13","0%"
"James Madison School","Ogden City District","274","0","0%","0","0","12","0%"
"Amelia Earhart School","Provo District","422","0","0%","0","0","13","0%"
"Mona School","Juab District","280","0","0%","0","0","<5","0%"
"Endeavor Hall","Salt Lake County - Charter","315","0","0%","0","<5","<5","0%"
"Autism Solutions Academy - Sunset","Davis County - Private","Enrollment data not available","0","0%","0","0","<5","0%"
"Vanguard Academy","Salt Lake County - Charter","463","0","0%","0","0","<5","0%"
"Elevations Academy","Davis County - Private","Enrollment data not available","0","0%","0","0","<5","0%"
"Maeser School","Uintah District","540","0","0%","0","<5","10","0%"
"White River Academy","Central Utah - Charter/Private","Enrollment data not available","0","0%","0","<5","<5","0%"
"Snowcrest Jr High","Weber District","296","0","0%","0","0","12","0%"
"Arches Academy","Utah County - Private","Enrollment data not available","0","0%","0","0","12","0%"
"Provo eSchool","Provo District","251","0","0%","0","0","<5","0%"
"Kauri Sue Hamilton School","Jordan District","224","0","0%","0","0","<5","0%"
"Crimson View School","Washington District","581","0","0%","0","0","11","0%"
"Silver Summit School","South Summit District","54","0","0%","0","0","9","0%"
"Learning Tree Southwest","Salt Lake County - Private","Enrollment data not available","0","0%","0","0","5","0%"
"Elizabeth Academy Inclusive Montessori  School","Salt Lake County - Private","Enrollment data not available","0","0%","0","0","5","0%"
"North Star Academy","Salt Lake County - Charter","530","0","0%","0","0","18","0%"
"Reid School","Salt Lake County - Private","Enrollment data not available","0","0%","0","0","<5","0%"
"South Mesa Elementary","Washington District","445","0","0%","0","0","<5","0%"
"St. Joseph Catholic Elem.","Weber-Morgan - Private","Enrollment data not available","0","0%","0","<5","9","0%"
"Circleville School","Piute District","80","0","0%","0","0","6","0%"
"Panorama School","Washington District","449","0","0%","0","0","11","0%"
"Montessori Learning Center","Utah County - Private","Enrollment data not available","0","0%","0","0","<5","0%"
"Desert Canyons Elementary - Washington District","Washington District","Enrollment data not available","0","0%","0","0","6","0%"
"Grantsville Jr High","Tooele District","473","0","0%","0","0","13","0%"
"Rivers Edge School","Jordan District","10","0","0%","0","0","<5","0%"
"Family Enrichment Center","Davis District","Enrollment data not available","0","0%","0","<5","13","0%"
"Children's Christian School","Salt Lake County - Private","Enrollment data not available","0","0%","0","0","<5","0%"
"St. George Academy","Southwest Utah - Charter","309","0","0%","0","0","10","0%"
"Valley High School","Jordan District","430","0","0%","0","0","15","0%"
"Hillsdale School","Granite District","637","0","0%","0","0","18","0%"
"New Hope Academy","Utah County - Private","Enrollment data not available","0","0%","0","0","<5","0%"
"Elk Meadows School","Jordan District","734","0","0%","0","0","48","0%"
"Arizona State University Prep Digital Powered by Juab - Juab District","Juab District","Enrollment data not available","0","0%","0","<5","<5","0%"
"Roosevelt Jr High","Duchesne District","901","0","0%","0","<5","22","0%"
"C.S. Lewis Academy","Utah County - Charter","268","0","0%","0","0","10","0%"
"Learning Tree West","Salt Lake County - Private","Enrollment data not available","0","0%","0","0","<5","0%"
"Heritage School","Ogden City District","550","0","0%","0","0","22","0%"
"Odyssey School","Ogden City District","444","0","0%","0","<5","13","0%"
"Jackling School","Granite District","454","0","0%","0","0","8","0%"
"Nebo View School","Juab District","292","0","0%","0","0","7","0%"
"Westfield School","Alpine District","568","0","0%","0","0","34","0%"
"Post High","Granite District","Enrollment data not available","0","0%","0","0","<5","0%"
"South Sanpete Education Support Center","South Sanpete District","5","0","0%","0","0","<5","0%"
"Challenger School","Utah County - Private","Enrollment data not available","0","0%","0","0","8","0%"
"Iqra Academy of Utah","Salt Lake County - Private","Enrollment data not available","0","0%","0","0","<5","0%"
"Cedar Valley School","Alpine District","89","0","0%","0","0","10","0%"
"Taylor School","Nebo District","350","0","0%","0","0","16","0%"
"Monroe School","Sevier District","548","0","0%","0","0","34","0%"
"Kanab School","Kane District","458","0","0%","0","0","10","0%"
"Davis School","Uintah District","451","0","0%","0","0","11","0%"
"Wasatch Peak Academy","Davis County - Charter","455","0","0%","0","0","31","0%"
"Elizabeth DeLong School of the Deaf","Utah County - Charter","Enrollment data not available","0","0%","0","<5","<5","0%"
"Bloomington School","Washington District","594","0","0%","0","0","14","0%"
"Sunrise Montessori School","Davis County - Charter","Enrollment data not available","0","0%","0","0","<5","0%"
"South Sevier High","Sevier District","381","0","0%","0","0","41","0%"
"Diamond Ranch Academy","Southwest Utah - Private","Enrollment data not available","0","0%","0","0","<5","0%"
"Hunter School","Granite District","535","0","0%","0","0","15","0%"
"Margaret L Hopkins Middle","Grand District","238","0","0%","0","0","<5","0%"
"Salt Lake Virtual Elementary - Salt Lake District","Salt Lake District","Enrollment data not available","0","0%","0","0","<5","0%"
"West Desert High School","Tintic District","9","0","0%","0","0","<5","0%"
"Dancing Moose Montessori","Salt Lake County - Private","Enrollment data not available","0","0%","0","0","7","0%"
"Delta South School","Millard District","433","0","0%","0","0","16","0%"
"Provo Canyon School","Utah County - Private","Enrollment data not available","0","0%","0","0","<5","0%"
"St. Francis Xavier Regional Sch","Salt Lake County - Private","Enrollment data not available","0","0%","0","0","<5","0%"
"Learning Tree East","Salt Lake County - Private","Enrollment data not available","0","0%","0","0","<5","0%"
"George Washington High","Ogden City District","217","0","0%","0","0","5","0%"
"Providence Hall Junior High","Salt Lake County - Charter","Enrollment data not available","0","0%","0","0","19","0%"
"Barnett School","Nebo District","337","0","0%","0","<5","17","0%"
"Ivy Hall Academy","Utah County - Private","Enrollment data not available","0","0%","0","0","<5","0%"
"Enoch School","Iron District","536","0","0%","0","0","14","0%"
"Fiddlers Canyon School","Iron District","545","0","0%","0","0","10","0%"
"Quest Academy","Weber-Morgan - Charter","991","0","0%","0","<5","32","0%"
"Bonneville School","Ogden City District","334","0","0%","0","0","9","0%"
"Mountain High","Davis District","195","0","0%","0","0","45","0%"
"Cedar South School","Iron District","463","0","0%","0","0","23","0%"
"Delta North School","Millard District","414","0","0%","0","0","18","0%"
"Granite Connection High","Granite District","402","0","0%","0","0","5","0%"
"University Academy","Salt Lake County - Private","Enrollment data not available","0","0%","0","<5","10","0%"
"Southwest Educational Academy","Iron District","1584","0","0%","0","0","<5","0%"
"Oquirrh Hills School","Granite District","Enrollment data not available","0","0%","0","0","<5","0%"
"Athenian eAcademy","Bear River - Charter","Enrollment data not available","0","0%","0","0","<5","0%"
"Sierra Bonita Elementary","Nebo District","817","0","0%","0","0","15","0%"
"Valley Academy","Southwest Utah - Charter","502","0","0%","0","0","17","0%"
"Pleasant Creek School","North Sanpete District","37","0","0%","0","0","<5","0%"
"Piute High","Piute District","174","0","0%","0","0","9","0%"
"Cedar North School","Iron District","525","0","0%","0","0","13","0%"
"Ephraim Middle","South Sanpete District","501","0","0%","0","0","19","0%"
"Cedar Ridge High","Sevier District","45","0","0%","0","0","6","0%"
"Fillmore School","Millard District","368","0","0%","0","0","19","0%"
"Ashley Valley Education Ctr.","Uintah District","228","0","0%","0","0","<5","0%"
"Century School","Box Elder District","466","0","0%","0","0","25","0%"
"Valley School","Weber District","573","0","0%","0","0","57","0%"
"Wasatch Christian School","Weber-Morgan - Private","Enrollment data not available","0","0%","0","0","6","0%"
"Leadership Academy of Utah","Utah County - Private","Enrollment data not available","0","0%","0","<5","<5","0%"
"Copper Hills Youth Center","Salt Lake County - Private","Enrollment data not available","0","0%","0","0","<5","0%"
"Wilson School","Nebo District","281","0","0%","0","0","15","0%"
"Second Chances in Southern Utah","Southwest Utah - Private","Enrollment data not available","0","0%","0","0","<5","0%"
"Backman School","Salt Lake District","404","0","0%","0","0","19","0%"
"Cache High","Cache District","145","0","0%","0","0","10","0%"
"Liberty Youth Academy","Southwest Utah - Private","Enrollment data not available","0","0%","0","0","<5","0%"
"Naples School","Uintah District","481","0","0%","0","0","17","0%"
"Independence High/Provo Adult Education","Provo District","184","0","0%","0","0","10","0%"
"Fairview School","North Sanpete District","248","0","0%","0","0","6","0%"
"Athenian eAcademy - Richfield","Central Utah - Charter/Private","545","0","0%","0","0","7","0%"
"Morgan Online - Morgan District","Morgan District","Enrollment data not available","0","0%","0","0","<5","0%"
"Birch Creek School","Cache District","600","0","0%","0","0","42","0%"
"Horizon School","Alpine District","116","0","0%","0","0","10","0%"
"Polaris West High","Alpine District","123","0","0%","0","0","<5","0%"
"Timpanogos Academy","Utah County - Charter","477","0","0%","0","0","13","0%"
"Kenneth Burdett School/North Region Blind/USD online","Weber-Morgan - Charter","Enrollment data not available","0","0%","0","<5","<5","0%"
"Heritage School","Washington District","474","0","0%","0","0","<5","0%"
"Koosharem School","Sevier District","39","0","0%","0","0","<5","0%"
"Brookside School","Nebo District","462","0","0%","0","0","20","0%"
"Castle Heights School","Carbon District","457","0","0%","0","0","26","0%"
"Jordan Valley School","Canyons District","96","0","0%","0","0","7","0%"
"Castle Valley Center","Carbon District","49","0","0%","0","0","<5","0%"
"Copper Hills School","Granite District","437","0","0%","0","<5","15","0%"
"Athenian eAcademy","Utah County - Charter","545","0","0%","0","0","<5","0%"
"Carmen Pingree School","Salt Lake County - Private","Enrollment data not available","0","0%","0","<5","<5","0%"
"Park Valley School","Box Elder District","36","0","0%","0","0","<5","0%"
"Malan's Peak Secondary ","Ogden City District","15","0","0%","0","0","5","0%"
"Discovery School","Box Elder District","426","0","0%","0","0","21","0%"
"Foothill School","Box Elder District","563","0","0%","0","0","62","0%"
"South Valley School","Jordan District","152","0","0%","0","0","<5","0%"
